"subject","cntr","country","R_attendance","R_prayer","R_religiousID","R_member","R_denomination","R_denominationText","R_god","R_afterlife","R_NormsSelfRelLife","R_NormsSelfGod","religiosity.s","religiosity","culturalNorms","norms","norms_z","condition","hunger","hearing","brains","knowledge","love","desire","check_condition","RT_text","RT_response","self_rating","Age","Gender","Education","SES","Ethnicity","EthnicityText","Recruitment","Sample","Compensation","Language"
41,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0,0.455723542116631,0.221678153568798,"Religious",1,1,1,1,1,1,0,1.857,10.884,5,54,"woman",3,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
42,"AUS","Australia",1,0.714285714285714,1,1,"Christian (Roman Catholic)",NA,0.833333333333333,0.666666666666667,0.75,1,1.33279033634873,0.852040816326531,0.625,0.455723542116631,0.221678153568798,"Religious",0,0,0,1,1,1,1,37.95,46.26,3,35,"man",7,9,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
43,"AUS","Australia",0,0,0.5,0,NA,NA,0.5,1,0,0.25,-0.191287010626807,0.321428571428571,0.125,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,65.442,77.2,5,37,"woman",3,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
44,"AUS","Australia",0,0,0.5,0,NA,NA,0.166666666666667,0.666666666666667,0,0,-0.536181832001719,0.19047619047619,0.25,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,22.594,23.113,3,29,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
45,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,1,1,1.74250454814817,1,0.625,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,0,1,230.005,39.814,2,47,"man",7,6,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
46,"AUS","Australia",0.5,0,0.5,0,NA,NA,0.166666666666667,0.666666666666667,0,0,-0.314945066885164,0.261904761904762,0,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,0,1,1.655,76.361,3,24,"man",4,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
47,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.5,0,0,-0.661040807718986,0.142857142857143,0,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,33.265,44.9,3,48,"woman",6,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
48,"AUS","Australia",0,0.142857142857143,0,0,NA,NA,0.5,0.833333333333333,0,0,-0.482824426517206,0.210884353741497,0,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,1,1,27.405,30.339,4,39,"woman",5,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
49,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,0.75,1,1.63052153346403,0.964285714285714,0.875,0.455723542116631,0.221678153568798,"Secular",0,0,1,1,1,0,1,45.901,73.47,1,44,"man",7,9,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
50,"AUS","Australia",0.5,0.571428571428571,1,1,"Christian (Orthodox - Russian/Greek/etc.)",NA,0.333333333333333,0.666666666666667,0.25,0.5,0.456970576067846,0.545918367346939,0.125,0.455723542116631,0.221678153568798,"Religious",0,0,0,1,1,1,1,21.439,40.8,4,28,"woman",5,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
51,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,0.5,0.75,0.75,1.34613053900747,0.857142857142857,0.625,0.455723542116631,0.221678153568798,"Secular",1,0,0,0,1,1,1,30.922,26,5,45,"woman",7,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
52,"AUS","Australia",0,0.142857142857143,0.5,0,NA,NA,0.5,0.5,0,0,-0.420777581803713,0.23469387755102,0.75,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,25.243,18.949,2,21,"woman",4,1,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
53,"AUS","Australia",0,1,1,0,NA,NA,0.5,0.5,0.25,0.25,0.303974436889687,0.5,0.25,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,32.99,24.476,1,61,"woman",7,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
54,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Roman Catholic)",NA,1,1,1,1,1.66875895977599,0.976190476190476,1,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,46.005,65.657,3,35,"man",5,10,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
55,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,54.654,36.839,4,40,"man",5,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
56,"AUS","Australia",0.166666666666667,0.714285714285714,0.5,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.5,0.25,0.75,0.331870925070914,0.506802721088435,0.5,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,1,0,1,23.637,24.505,6,23,"woman",5,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
57,"AUS","Australia",0.833333333333333,0.714285714285714,1,1,"Christian (Protestant)",NA,1,1,0.75,1,1.44697509853253,0.899659863945578,0.75,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,1,1,9.395,15.912,4,25,"man",5,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
58,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,1,0.75,0.75,1.53534466352365,0.928571428571429,0.75,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,43.717,45.971,3,46,"man",7,6,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
59,"AUS","Australia",0,0.571428571428571,0.5,1,"Christian (Protestant)",NA,0.333333333333333,0.333333333333333,0.25,0.25,-0.17377540305749,0.319727891156463,0.25,0.455723542116631,0.221678153568798,"Secular",0,1,0,0,1,1,1,96.934,25.445,5,66,"man",3,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
60,"AUS","Australia",0.5,1,1,1,"Muslim",NA,1,1,1,1,1.52126778303162,0.928571428571429,1,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,0,1,16.783,30.602,1,45,"man",7,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
61,"AUS","Australia",0.166666666666667,0.142857142857143,1,1,"Christian (Protestant)",NA,0.666666666666667,0.666666666666667,0.25,0.5,0.268353331241591,0.48469387755102,0.25,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,27.959,21.472,3,42,"man",7,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
62,"AUS","Australia",0,0,0.5,0,NA,NA,0.166666666666667,0.5,0,0,-0.599253206840446,0.166666666666667,0,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,25.378,26.604,2,43,"man",3,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
63,"AUS","Australia",0.166666666666667,1,1,1,"Muslim",NA,1,1,1,1,1.37377660628725,0.880952380952381,0.625,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,81.541,50.131,1,40,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
64,"AUS","Australia",0.166666666666667,0.714285714285714,1,0,NA,NA,0.833333333333333,1,0.5,1,0.978222129481108,0.744897959183674,0.75,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,1,0,1,115.701,90.979,2,45,"woman",6,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
65,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.5,1.0047212390924,0.738095238095238,0.75,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,1,0,0,5.107,19.172,4,30,"man",7,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
66,"AUS","Australia",0,0,0.5,0,NA,NA,0.666666666666667,1,0.25,1,0.268014214757018,0.488095238095238,0.75,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,0,27.503,22.453,1,55,"woman",2,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
67,"AUS","Australia",1,1,1,1,"Muslim",NA,1,0.666666666666667,1,1,1.61636179847072,0.952380952380952,0.875,0.455723542116631,0.221678153568798,"Religious",0,1,0,0,1,0,0,76.123,143.955,1,40,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
68,"AUS","Australia",0.666666666666667,0.857142857142857,0.5,0,NA,NA,0.666666666666667,1,0.5,1,1.00438212260783,0.741496598639456,0.875,0.455723542116631,0.221678153568798,"Secular",0,0,1,0,1,1,1,44.901,63.644,1,40,"man",6,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
69,"AUS","Australia",0,0,0.5,1,"Christian (Protestant)",NA,0.333333333333333,0.333333333333333,0,0,-0.600536980800634,0.166666666666667,0.25,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,34.278,46.331,4,62,"woman",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
70,"AUS","Australia",0,0,0.5,0,NA,NA,0.666666666666667,0.5,0,0,-0.413890404204828,0.238095238095238,0,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,0,1,32.54,49.703,2,38,"woman",3,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
71,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,0.75,1,1.63052153346403,0.964285714285714,1,0.455723542116631,0.221678153568798,"Religious",0,0,0,1,1,1,1,32.689,46.769,4,27,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
72,"AUS","Australia",1,0.714285714285714,0.5,0,NA,NA,0.166666666666667,0.333333333333333,0.25,0.5,0.356987819517115,0.494897959183673,0.625,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,1,0,1.424,20.741,1,26,"man",6,6,"Pacific Islander",NA,"TurkPrime","online panel","monetary reward","English"
73,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,1,1,1.74250454814817,1,0.875,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,66.062,83.883,1,45,"man",7,9,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
74,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,0.75,0.75,1.53534466352365,0.928571428571429,0.75,0.455723542116631,0.221678153568798,"Religious",0,1,0,0,1,1,1,67.601,49.351,4,45,"man",5,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
75,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Protestant)",NA,1,1,1,1,1.66875895977599,0.976190476190476,1,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,1,1,5.529,68.077,1,46,"man",7,9,"African",NA,"TurkPrime","online panel","monetary reward","English"
76,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Roman Catholic)",NA,1,1,0.75,0.75,1.46159907515146,0.904761904761905,0.75,0.455723542116631,0.221678153568798,"Secular",1,1,1,1,1,1,1,41.388,37.301,4,35,"man",7,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
77,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,"Religious",0,0,1,0,1,0,0,1.68,78.074,2,34,"man",5,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
78,"AUS","Australia",0,0,0.5,0,NA,NA,0,0,0.25,0.25,-0.643095047610641,0.142857142857143,0.25,0.455723542116631,0.221678153568798,"Religious",1,0,0,1,1,0,0,3.482,9.037,6,18,"man",2,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
79,"AUS","Australia",0.666666666666667,0.714285714285714,1,1,"Muslim",NA,0.5,0.333333333333333,0.5,0.25,0.538067583664538,0.566326530612245,0,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,24.233,16.368,3,51,"woman",7,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
80,"AUS","Australia",0,0.142857142857143,0.5,0,NA,NA,0.666666666666667,0.666666666666667,0,0,-0.295918606086446,0.282312925170068,0.25,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,58.943,32.252,2,21,"woman",4,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
81,"AUS","Australia",0.333333333333333,0.285714285714286,0.5,0,NA,NA,0.5,0.5,0,0,-0.218385981779688,0.302721088435374,0,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,17.538,27.334,1,21,"woman",4,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
82,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,0.833333333333333,1,1,1.67943317330945,0.976190476190476,1,0.455723542116631,0.221678153568798,"Secular",1,1,1,1,1,1,1,2.581,15.39,1,44,"man",7,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
83,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,0,65.832,54.94,1,40,"man",5,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
84,"AUS","Australia",0.5,0.714285714285714,1,1,"Christian (Protestant)",NA,1,0.166666666666667,0.5,1,0.872144032910383,0.697278911564626,0.25,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,1,1,28.043,32.704,5,60,"woman",5,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
85,"AUS","Australia",0.5,1,1,0,NA,NA,1,1,1,1,1.52126778303162,0.928571428571429,1,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,1,1,0,37.047,39.067,1,45,"man",5,9,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
86,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,0.75,1,1.63052153346403,0.964285714285714,0.75,0.455723542116631,0.221678153568798,"Secular",1,1,1,1,0,1,0,1.657,7.335,1,25,"man",7,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
87,"AUS","Australia",0.666666666666667,1,1,1,"Muslim",NA,1,0.833333333333333,0.75,1,1.41995898188093,0.892857142857143,0.75,0.455723542116631,0.221678153568798,"Religious",1,0,0,1,1,1,0,8.92,179.973,1,42,"man",7,9,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
