SUBNUM,SITENUM,SITENAME,AGE,SEX,REPLICATION,PRIME,PRIMENAME,SPIRITSREAL,SLP1DTH0,SLPDEATH,QNUM,PSYCHPHYS,QLABEL,QUESTION,RESPONSE,DISCONTINUITY
90,1,Marajó Islanders,19,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
91,1,Marajó Islanders,33,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
92,1,Marajó Islanders,20,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
93,1,Marajó Islanders,18,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
94,1,Marajó Islanders,26,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
95,1,Marajó Islanders,18,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
96,1,Marajó Islanders,16,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
97,3,Chhattisgarh,32,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
98,3,Chhattisgarh,22,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
99,3,Chhattisgarh,24,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
100,3,Chhattisgarh,30,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
101,3,Chhattisgarh,25,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
102,3,Chhattisgarh,33,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
103,3,Chhattisgarh,20,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
104,3,Chhattisgarh,34,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
105,3,Chhattisgarh,28,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
106,3,Chhattisgarh,33,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
107,3,Chhattisgarh,30,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
108,3,Chhattisgarh,26,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
109,3,Chhattisgarh,21,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
110,3,Chhattisgarh,25,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
111,3,Chhattisgarh,23,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
112,3,Chhattisgarh,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
113,3,Chhattisgarh,18,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
114,3,Chhattisgarh,19,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
115,3,Chhattisgarh,19,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
116,3,Chhattisgarh,17,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
117,3,Chhattisgarh,16,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
118,3,Chhattisgarh,30,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
119,3,Chhattisgarh,35,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
120,3,Chhattisgarh,25,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
121,3,Chhattisgarh,30,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
122,3,Chhattisgarh,26,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
123,3,Chhattisgarh,23,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
124,3,Chhattisgarh,17,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
125,3,Chhattisgarh,17,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
126,3,Chhattisgarh,28,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
127,3,Chhattisgarh,25,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
128,3,Chhattisgarh,26,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
129,3,Chhattisgarh,21,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
130,3,Chhattisgarh,22,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
131,3,Chhattisgarh,18,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
132,3,Chhattisgarh,38,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
133,3,Chhattisgarh,28,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
134,3,Chhattisgarh,16,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
135,3,Chhattisgarh,31,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
136,3,Chhattisgarh,20,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
137,3,Chhattisgarh,32,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
138,3,Chhattisgarh,34,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
139,3,Chhattisgarh,20,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
140,3,Chhattisgarh,37,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
141,3,Chhattisgarh,31,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
142,3,Chhattisgarh,33,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
143,3,Chhattisgarh,25,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
144,3,Chhattisgarh,30,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
145,4,Storozhnitsa,71,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
146,4,Storozhnitsa,61,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
147,4,Storozhnitsa,39,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
148,4,Storozhnitsa,40,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
149,4,Storozhnitsa,51,0,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
150,4,Storozhnitsa,28,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
151,4,Storozhnitsa,30,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
152,4,Storozhnitsa,36,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
153,4,Storozhnitsa,23,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
154,4,Storozhnitsa,70,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
155,4,Storozhnitsa,43,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
156,4,Storozhnitsa,68,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
157,4,Storozhnitsa,73,0,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
158,4,Storozhnitsa,21,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
159,4,Storozhnitsa,79,0,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
160,4,Storozhnitsa,72,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
161,4,Storozhnitsa,35,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
162,4,Storozhnitsa,31,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
163,4,Storozhnitsa,39,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
164,4,Storozhnitsa,33,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
165,4,Storozhnitsa,24,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
166,4,Storozhnitsa,54,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
167,4,Storozhnitsa,46,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
168,4,Storozhnitsa,73,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
169,4,Storozhnitsa,51,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
170,4,Storozhnitsa,39,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
171,4,Storozhnitsa,18,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
172,4,Storozhnitsa,56,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
173,4,Storozhnitsa,35,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
174,4,Storozhnitsa,47,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
175,4,Storozhnitsa,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
176,4,Storozhnitsa,16,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
177,4,Storozhnitsa,16,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
178,4,Storozhnitsa,61,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
179,4,Storozhnitsa,49,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
180,4,Storozhnitsa,34,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
181,4,Storozhnitsa,17,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
182,4,Storozhnitsa,74,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
183,4,Storozhnitsa,43,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
184,4,Storozhnitsa,42,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
185,4,Storozhnitsa,65,0,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
186,4,Storozhnitsa,21,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
187,4,Storozhnitsa,70,1,0,0,No prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
188,4,Storozhnitsa,49,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
189,4,Storozhnitsa,49,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
190,4,Storozhnitsa,21,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
191,4,Storozhnitsa,30,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
192,4,Storozhnitsa,55,1,0,0,No prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
193,5,Emory Students,19,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
194,5,Emory Students,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
195,5,Emory Students,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
196,5,Emory Students,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
197,5,Emory Students,18,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
198,5,Emory Students,21,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
199,5,Emory Students,21,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
200,5,Emory Students,21,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
201,5,Emory Students,22,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
202,5,Emory Students,21,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
203,5,Emory Students,22,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
204,5,Emory Students,21,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
205,5,Emory Students,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
206,5,Emory Students,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
207,5,Emory Students,22,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
208,5,Emory Students,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
209,5,Emory Students,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
210,5,Emory Students,21,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
211,5,Emory Students,21,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
212,5,Emory Students,19,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
213,5,Emory Students,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
214,5,Emory Students,21,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
215,5,Emory Students,21,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
216,5,Emory Students,22,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
217,6,Wesleyan Students,19,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
218,6,Wesleyan Students,21,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
219,6,Wesleyan Students,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
220,6,Wesleyan Students,21,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
221,6,Wesleyan Students,20,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
222,6,Wesleyan Students,20,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
223,6,Wesleyan Students,20,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
224,6,Wesleyan Students,19,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
225,6,Wesleyan Students,18,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
226,6,Wesleyan Students,19,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
227,6,Wesleyan Students,19,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
228,6,Wesleyan Students,19,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
229,6,Wesleyan Students,19,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
230,6,Wesleyan Students,19,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
231,6,Wesleyan Students,19,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
232,6,Wesleyan Students,19,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
233,6,Wesleyan Students,19,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
234,6,Wesleyan Students,18,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
235,6,Wesleyan Students,20,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
236,6,Wesleyan Students,19,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
237,6,Wesleyan Students,19,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
238,6,Wesleyan Students,18,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
239,6,Wesleyan Students,19,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
240,6,Wesleyan Students,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
241,6,Wesleyan Students,19,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
242,6,Wesleyan Students,18,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
243,6,Wesleyan Students,20,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
244,6,Wesleyan Students,18,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
245,6,Wesleyan Students,19,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
246,6,Wesleyan Students,19,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
